YEAR,PERIOD,UNIT_CODE,UNIT_TITLE,DELIVERY_UNIT,FULL_PERIOD_NUM,CLASS_SIZE,CLASS_BOXPLOT
2021,H1B1,NBC1112,Building science,NBC1112-2021-H1B1,2021110,26,"{""q1"": 64.0, ""median"": 67.0, ""q3"": 73.0, ""whisker_low"": 51.0, ""whisker_high"": 80.0, ""outliers"": [50.0]}"
2021,H1B1,NBC2001,Building planning process,NBC2001-2021-H1B1,2021110,31,"{""q1"": 57.25, ""median"": 60.0, ""q3"": 67.0, ""whisker_low"": 44.0, ""whisker_high"": 79.0, ""outliers"": []}"
2021,H1B1,NBC2003,Building systems and services,NBC2003-2021-H1B1,2021110,33,"{""q1"": 64.25, ""median"": 71.5, ""q3"": 76.25, ""whisker_low"": 50.0, ""whisker_high"": 83.0, ""outliers"": [20.0, 0.0]}"
2021,H1B1,NBC2109,Performance based solutions for building,NBC2109-2021-H1B1,2021110,25,"{""q1"": 67.0, ""median"": 70.0, ""q3"": 76.0, ""whisker_low"": 56.0, ""whisker_high"": 82.0, ""outliers"": [29.0, 12.0, 23.0]}"
2021,H1B1,NBC3003,Building services management,NBC3003-2021-H1B1,2021110,32,"{""q1"": 62.75, ""median"": 67.5, ""q3"": 72.0, ""whisker_low"": 50.0, ""whisker_high"": 80.0, ""outliers"": [88.0]}"
2021,H1B1,NBC3004,Construction economics,NBC3004-2021-H1B1,2021110,39,"{""q1"": 61.5, ""median"": 67.0, ""q3"": 73.0, ""whisker_low"": 50.0, ""whisker_high"": 81.0, ""outliers"": [0.0]}"
2021,H1B1,NBC3204,Complex construction,NBC3204-2021-H1B1,2021110,22,"{""q1"": 56.75, ""median"": 68.5, ""q3"": 73.5, ""whisker_low"": 50.0, ""whisker_high"": 80.0, ""outliers"": [0.0, 0.0]}"
2021,H1B1,NBC4101,Construction management,NBC4101-2021-H1B1,2021110,35,"{""q1"": 50.0, ""median"": 60.0, ""q3"": 71.5, ""whisker_low"": 24.0, ""whisker_high"": 82.0, ""outliers"": [0.0]}"
2021,H1B1,NBD1101,Building design documentation,NBD1101-2021-H1B1,2021110,18,"{""q1"": 55.0, ""median"": 83.0, ""q3"": 84.0, ""whisker_low"": 12.0, ""whisker_high"": 90.0, ""outliers"": []}"
2021,H1B1,NBD3002,Residential sustainable design,NBD3002-2021-H1B1,2021110,32,"{""q1"": 66.75, ""median"": 75.0, ""q3"": 82.0, ""whisker_low"": 53.0, ""whisker_high"": 86.0, ""outliers"": [4.0, 0.0]}"
2021,H1B1,NEA2201,Building development and compliance,NEA2201-2021-H1B1,2021110,32,"{""q1"": 66.25, ""median"": 70.0, ""q3"": 74.25, ""whisker_low"": 60.0, ""whisker_high"": 85.0, ""outliers"": [0.0, 34.0]}"
2021,H1B1,NEC2102,Solid mechanics,NEC2102-2021-H1B1,2021110,49,"{""q1"": 62.0, ""median"": 71.5, ""q3"": 80.0, ""whisker_low"": 43.0, ""whisker_high"": 92.0, ""outliers"": []}"
2021,H1B1,NEC3101,Structural analysis,NEC3101-2021-H1B1,2021110,27,"{""q1"": 60.5, ""median"": 69.0, ""q3"": 84.0, ""whisker_low"": 39.0, ""whisker_high"": 98.0, ""outliers"": []}"
2021,H1B1,NEC3102,Geotechnical engineering,NEC3102-2021-H1B1,2021110,26,"{""q1"": 52.0, ""median"": 57.5, ""q3"": 67.25, ""whisker_low"": 33.0, ""whisker_high"": 85.0, ""outliers"": []}"
2021,H1B1,NEC4101,Environmental engineering 1,NEC4101-2021-H1B1,2021110,28,"{""q1"": 63.75, ""median"": 69.5, ""q3"": 77.0, ""whisker_low"": 45.0, ""whisker_high"": 88.0, ""outliers"": []}"
2021,H1B1,NEC4102,Structural engineering design 2,NEC4102-2021-H1B1,2021110,30,"{""q1"": 60.0, ""median"": 66.0, ""q3"": 77.25, ""whisker_low"": 53.0, ""whisker_high"": 90.0, ""outliers"": []}"
2021,H1B1,NEE2101,Electrical circuits,NEE2101-2021-H1B1,2021110,13,"{""q1"": 73.0, ""median"": 83.0, ""q3"": 92.0, ""whisker_low"": 65.0, ""whisker_high"": 100.0, ""outliers"": [32.0, 34.0]}"
2021,H1B1,NEE3104,Digital systems,NEE3104-2021-H1B1,2021110,19,"{""q1"": 58.5, ""median"": 66.0, ""q3"": 70.0, ""whisker_low"": 56.0, ""whisker_high"": 82.0, ""outliers"": []}"
2021,H1B1,NEF1102,Engineering physics 1,NEF1102-2021-H1B1,2021110,9,{}
2021,H1B1,NEF1103,Engineering and the community,NEF1103-2021-H1B1,2021110,55,"{""q1"": 78.0, ""median"": 85.5, ""q3"": 89.75, ""whisker_low"": 61.0, ""whisker_high"": 99.0, ""outliers"": [0.0, 0.0, 59.0, 44.0, 0.0, 58.0, 45.0]}"
2021,H1B1,NEF2101,Fluid mechanics 1,NEF2101-2021-H1B1,2021110,17,"{""q1"": 53.0, ""median"": 62.0, ""q3"": 66.0, ""whisker_low"": 50.0, ""whisker_high"": 73.0, ""outliers"": []}"
2021,H1B1,NEF3001,Applied project 1,NEF3001-2021-H1B1,2021110,12,"{""q1"": 60.0, ""median"": 66.0, ""q3"": 81.0, ""whisker_low"": 58.0, ""whisker_high"": 82.0, ""outliers"": []}"
2021,H1B1,NEF3002,Applied project 2,NEF3002-2021-H1B1,2021110,6,{}
2021,H1B1,NEF3101,Project management,NEF3101-2021-H1B1,2021110,25,"{""q1"": 61.0, ""median"": 62.0, ""q3"": 77.0, ""whisker_low"": 50.0, ""whisker_high"": 86.0, ""outliers"": []}"
2021,H1B1,NEF4001,Computational heat and fluid flows,NEF4001-2021-H1B1,2021110,36,"{""q1"": 55.5, ""median"": 64.0, ""q3"": 75.5, ""whisker_low"": 32.0, ""whisker_high"": 85.0, ""outliers"": []}"
2021,H1B1,NEF4105,Professional engineering practice,NEF4105-2021-H1B1,2021110,27,"{""q1"": 71.0, ""median"": 75.0, ""q3"": 80.5, ""whisker_low"": 57.0, ""whisker_high"": 90.0, ""outliers"": [38.0]}"
2021,H1B1,NEF4201,Research project 2,NEF4201-2021-H1B1,2021110,1,{}
2021,H1B1,NEM1001,Algebra and calculus,NEM1001-2021-H1B1,2021110,8,{}
2021,H1B1,NEM3101,Engineering analysis and modelling,NEM3101-2021-H1B1,2021110,13,"{""q1"": 53.0, ""median"": 60.0, ""q3"": 65.0, ""whisker_low"": 40.0, ""whisker_high"": 73.0, ""outliers"": []}"
